id	sample	name	stain	count	ancestry
703895	IPIHNSC023.T1	Time	treg	966121	""
703896	IPIHNSC023.T1	Single Cells	treg	809766	Time
703897	IPIHNSC023.T1	Single Cells 2	treg	538809	"Single Cells	Time"
703898	IPIHNSC023.T1	Live	treg	12684	"Single Cells 2	Single Cells	Time"
703899	IPIHNSC023.T1	CD4 hi	treg	685	"Live	Single Cells 2	Single Cells	Time"
703900	IPIHNSC023.T1	CD25 hi	treg	93	"Live	Single Cells 2	Single Cells	Time"
703901	IPIHNSC023.T1	CD45+	treg	1639	"Live	Single Cells 2	Single Cells	Time"
703902	IPIHNSC023.T1	CD3+ all	treg	966	"CD45+	Live	Single Cells 2	Single Cells	Time"
703903	IPIHNSC023.T1	CD3+,HLADR+	treg	37	"CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703904	IPIHNSC023.T1	CD4 hi	treg	21	"CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703905	IPIHNSC023.T1	CD25 hi	treg	5	"CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703906	IPIHNSC023.T1	CD45RO hi	treg	22	"CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703907	IPIHNSC023.T1	CD127 hi	treg	15	"CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703908	IPIHNSC023.T1	CTLA4 hi	treg	10	"CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703909	IPIHNSC023.T1	FoxP3 hi	treg	3	"CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703910	IPIHNSC023.T1	ICOs hi	treg	2	"CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703911	IPIHNSC023.T1	Ki67 hi	treg	14	"CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703912	IPIHNSC023.T1	LiveDead_HLADR hi	treg	37	"CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703913	IPIHNSC023.T1	PD1 hi	treg	2	"CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703914	IPIHNSC023.T1	Q1: CD8a-,CD4+	treg	21	"CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703915	IPIHNSC023.T1	CD3+,HLADR+,CD4+,CD25+,FoxP3+ (Tr)	treg	5	"Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703916	IPIHNSC023.T1	CD4 hi	treg	5	"CD3+,HLADR+,CD4+,CD25+,FoxP3+ (Tr)	Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703917	IPIHNSC023.T1	CD25 hi	treg	4	"CD3+,HLADR+,CD4+,CD25+,FoxP3+ (Tr)	Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703918	IPIHNSC023.T1	CD45RO hi	treg	4	"CD3+,HLADR+,CD4+,CD25+,FoxP3+ (Tr)	Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703919	IPIHNSC023.T1	CD127 hi	treg	4	"CD3+,HLADR+,CD4+,CD25+,FoxP3+ (Tr)	Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703920	IPIHNSC023.T1	CTLA4 hi	treg	5	"CD3+,HLADR+,CD4+,CD25+,FoxP3+ (Tr)	Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703921	IPIHNSC023.T1	FoxP3 hi	treg	2	"CD3+,HLADR+,CD4+,CD25+,FoxP3+ (Tr)	Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703922	IPIHNSC023.T1	ICOs hi	treg	2	"CD3+,HLADR+,CD4+,CD25+,FoxP3+ (Tr)	Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703923	IPIHNSC023.T1	Ki67 hi	treg	4	"CD3+,HLADR+,CD4+,CD25+,FoxP3+ (Tr)	Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703924	IPIHNSC023.T1	LiveDead_HLADR hi	treg	5	"CD3+,HLADR+,CD4+,CD25+,FoxP3+ (Tr)	Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703925	IPIHNSC023.T1	PD1 hi	treg	0	"CD3+,HLADR+,CD4+,CD25+,FoxP3+ (Tr)	Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703926	IPIHNSC023.T1	CD3+,HLADR+,CD4+,CD25- (Th)	treg	16	"Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703927	IPIHNSC023.T1	CD4 hi	treg	16	"CD3+,HLADR+,CD4+,CD25- (Th)	Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703928	IPIHNSC023.T1	CD25 hi	treg	0	"CD3+,HLADR+,CD4+,CD25- (Th)	Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703929	IPIHNSC023.T1	CD45RO hi	treg	7	"CD3+,HLADR+,CD4+,CD25- (Th)	Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703930	IPIHNSC023.T1	CD127 hi	treg	9	"CD3+,HLADR+,CD4+,CD25- (Th)	Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703931	IPIHNSC023.T1	CTLA4 hi	treg	2	"CD3+,HLADR+,CD4+,CD25- (Th)	Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703932	IPIHNSC023.T1	FoxP3 hi	treg	0	"CD3+,HLADR+,CD4+,CD25- (Th)	Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703933	IPIHNSC023.T1	ICOs hi	treg	0	"CD3+,HLADR+,CD4+,CD25- (Th)	Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703934	IPIHNSC023.T1	Ki67 hi	treg	4	"CD3+,HLADR+,CD4+,CD25- (Th)	Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703935	IPIHNSC023.T1	LiveDead_HLADR hi	treg	16	"CD3+,HLADR+,CD4+,CD25- (Th)	Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703936	IPIHNSC023.T1	PD1 hi	treg	2	"CD3+,HLADR+,CD4+,CD25- (Th)	Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
